webseite,adresse,email,name,telefonnummer
undefined,Karlsgraben 52 /54 52064 Aachen,info@digi-activ.de,Pluskota & Spinnraths GbR,(0241) 56000303
http://www.notebookkontor.de,Lütticher Str. 238 52074 Aachen,info@notebookkontor.de,Bertram Daten- und Netzwerkmanagement GmbH,(0241) 40044-0
http://gagacomputer.de,Dorfstr. 13 52076 Aachen (Hahn),info@gagacomputer.de,Gagacomputer Tinte & Toner,(02408) 59213
http://www.compudata.eu,Eckenberger Str. 64 52066 Aachen,info@compudata.eu,"CompuData Aachen, Dipl.-Ing. T. Bühner VDI IT-Service",(0241) 1570015
http://www.sbits.ac,Bachstr. 60 52066 Aachen,info@sbits.ac,SBITS UG (haftungsbeschränkt),(0241) 9970125
http://www.n2b.de,Dammstr. 51 52066 Aachen,info@n2b.de,Ulrich Scharfe Betreuung von Netzwerken,(0241) 9108919
http://www.schwerdtfeger-ac.de,Theresienstr. 8 52072 Aachen,joerg.schwerdtfeger@schwerdtfeger-ac.de,Jörg Schwerdtfeger Beratung und Systemintegration,(0241) 9890840
undefined,Auf der Kier 11 52076 Aachen (Walheim),info@netstone.de,Daniel Veselinovic EDV-Dienstleistungen,(02408) 9569959
http://www.adbits.de,Schleckheimer Str. 194 52076 Aachen (Schleckheim),info@adbits.de,Horst-Georg Gier adbits-web print und support,(02408) 956699
http://www.dueren-edv.de,Kreuzstr. 42 a 52080 Aachen (Haaren),info@dueren-edv.de,Karl-Josef Düren EDV,(0241) 1890770
http://profit-netzwerke.de,Franz-Delheid-Str. 88 52080 Aachen (Eilendorf),info@profit-netzwerke.de,"profIT Netzwerke, Dimitri Kauschanski",(0241) 51564333
http://gevabs.de,Pascalstr. 12 52076 Aachen (Oberforstbach),info@geva-group.com,GEVA Business Solutions GmbH,(02408) 60770-0
https://www.flashnetworking.de,Kongressstr. 5 52070 Aachen,info@flashnetworking.de,FlashNetworking GmbH,(0241) 53108820
https://www.i-nex.de,Küppershofweg 15 52072 Aachen (Richterich),info@i-nex.de,I-Nex Gesellschaft für linuxbasierte Netze mbH,(0241) 475748-0
http://www.interaix.de,Kroitzheider Weg 91 a 52076 Aachen (Schleckheim),info@interaix.de,InterAix GmbH,(02408) 7270224
http://www.its-urbanek.de,Johanneswinkel 1 52080 Aachen (Eilendorf),urbanek@its-urbanek.de,IT-Service Franz Urbanek,(0241) 5903738
http://www.com-rep.de,Dennewartstr. 13 52068 Aachen,info@com-rep.de,Michael Göhdicke Com-Rep Support IT Service,(0241) 1605028
http://www.heldcom.de,Teichwinkel 1 A 52074 Aachen (Laurensberg),info@heldcom.eu,HeldCOM Rainer Held,(0241) 1601173
http://www.at-experience.de,Maarwinkel 40 52080 Aachen (Eilendorf),info@at-experience.de,experience,(0241) 9367785
http://wortundtechnik.de,Orsbacher Str. 16 a 52074 Aachen (Laurensberg),info@wort-und-technik.de,wort & technik :: technical communication,(0241) 4359318
http://www.der-onlinespezialist.de,Hasbach 36 52076 Aachen (Walheim),harald.gottfried@edv-sachverstand.com,Gottfried Harald,(02408) 9378857
http://prooffice.biz,Charlottenburger Allee 5 52068 Aachen,info@prooffice.biz,Pro office it-solutions GmbH,(0241) 565281-0
https://www.horbach.de/aktuelles/smartkonzept.html,Heider-Hof-Weg 23 A 52080 Aachen (Haaren),info@promeso.de,Horbach-IT IT-Service,(02405) 4077579
http://www.start-pc.de,Wilhelm-Grasmehr-Str. 6 - 8 52078 Aachen (Brand),info@start-pc.de,Start-PC,(0241) 565298612
http://rdbs.de,Brüsseler Ring 67 52074 Aachen,kontakt@rdbs.de,Deutz Robert Business Solution Datenverarbeitung,(0241) 9431967
http://www.lorix-gmbh.de,Hergelsbendenstr. 18 52080 Aachen (Haaren),info@lorix-gmbh.de,LORIX GmbH,(0241) 9559620
https://www.priomni.de,Wilhelm-Ziemons-Str. 1 52078 Aachen (Brand),info@priomni.de,priomni AG,(0241) 44522-0
http://www.compucare-ac.de/,Beethovenstr. 11 52064 Aachen,mail@compucare-ac.de,Compucare Ralf Junglas EDV-Dienstleistungen,(0241) 47588650
http://www.projektperfekt.com,Walheimer Str. 58 52076 Aachen (Walheim),gvzd@projektperfekt.com,projektperfekt Frank Haubner,(02408) 959341
http://ontopicmedia.de,Suermondtplatz 4 52062 Aachen,kontakt@ontopicmedia.de,OnTopic Media AG,(0241) 56529569
http://www.intrabit.de,Vinzenzstr. 10 a 52078 Aachen (Brand),info@intrabit.de,Intrabit GmbH NL Aachen,(0241) 92049676
undefined,Ellerhofweg 11 52078 Aachen (Brand),info@chresch.de,chrEsch-IT,(0241) 95781190
https://nedeco.de,Heidestr. 1 - 3 52078 Aachen (Brand),info@nedeco.de,nedeco GmbH,(0241) 980919-0
http://gactech-it-solutions.de,Alexianergraben 44 52062 Aachen,info@gactech-it-solutions.de,GacTech IT Solutions,(0241) 46373198
https://www.omnia-edv.de,Hergelsbendenstr. 37 52080 Aachen (Haaren),info@omnia-edv.de,OMNIA EDV Beratungs GmbH i. Gr,(0241) 91613377
https://www.wlan-aachen.de,Rotter Bruch 26 a 52068 Aachen,info@xcilio.de,X.CILIO business solutions e.K.,(0241) 40068-0
https://www.carotec.de,Karl-Friedrich-Str. 64 52072 Aachen (Richterich),info@carotec.de,carotec GmbH & Co. KG,(0241) 9900120
http://www.vollmar.net,Franzstr. 51 52064 Aachen,info@vollmar.net,vollmar.net GmbH,(0241) 46314439
https://social-you.de,Metzgerstr. 52070 Aachen,info@social-you.de,social.you,(0241) 89438440
undefined,Mariahilfstr. 17 52062 Aachen,hello@aixpan.de,Jan Wieczorek,(0241) 56527953
https://www.gamic.com,Roermonder Str. 151 52072 Aachen,info@gamic.com,GAMIC Gesellschaft für angewandte Mikrowellen- und Informationstechnologie und C,(0172) 2936510
http://www.mitgmbh.de/,Pascalstr. 69 52076 Aachen (Oberforstbach),info@mitgmbh.de,"Prozeßoptimierung, MIT - Management Intelligenter Technologien GmbH",(02408) 9458-0
https://www.arsec.de,Jülicher Str. 40 52070 Aachen,info@arsec.de,Security Systems ARSEC,(0241) 4008181
http://www.data-partner.de,Roermonder Str. 58 52072 Aachen,joachim.guse@t-online.de,Data Partner Vertriebs GmbH,(0241) 9209393
http://www.haupts.de,Rotter Bruch 24 52068 Aachen,info@haupts.de,haupts IT Solutions GmbH,(0241) 92884-0
http://www.idgmbh.de,Wermutsbrunnstr. 23 52076 Aachen (Walheim),office@prodette.de,ID Ingenieurgesellschaft für Datentechnik mbH Systemlösungen,(02408) 958119
http://sausen-elektronik.de,Kullenhofstr. 32 52074 Aachen,sausen@sausen-elektronik.de,Sausen,(0241) 86552
http://www.inside-online.de,Auf der Hüls 190 52068 Aachen,info@inside-online.de,inside BuV GmbH,(0241) 18292-0
http://www.akcent.de,Wallstr. 68 52064 Aachen,info@mebsware.de,MEBSware Informatik GmbH Dienstleistungen in der Datenverarbeitung,(0241) 88983-0
https://gesytec.de,Pascalstr. 6 52076 Aachen (Oberforstbach),info@gesytec.de,Gesytec Gesellschaft für Systemtechnik u. Datenverarbeitung mbH Datenverarbeitung,(02408) 944-0
